gsis_id,display_name,position,birth_date,pfr_id,espn_id
ADI276861,John Adickes,C,1964-06-29,AdicJo20,
00-0000083,Mark Adickes,G,1961-04-22,AdicMa20,
00-0032273,Jude Adjei-Barimah,CB,1992-07-21,AdjeJu00,2515836
ADK138430,Kevin Adkins,DB,1965-08-27,AdkiKe20,
00-0038783,Nate Adkins,TE,1999-07-09,AdkiNa00,4383440
ADK692150,Sam Adkins,QB,1955-05-21,AdkiSa00,
00-0027123,Spencer Adkins,OLB,1987-05-16,AdkiSp99,12628
00-0021629,James Adkisson,WR,1980-01-11,AdkiJa00,6091
00-0037412,Cal Adomitis,LS,1998-07-09,AdomCa00,4240719
00-0030583,Daniel Adongo,LB,1989-10-12,AdonDa00,16632
00-0026936,Al Afalava,S,1987-01-20,AfalAl99,12629
00-0000090,Erik Affholter,WR,1966-04-10,AffhEr00,
00-0034702,Pat Afriyie,DE,1996-07-20,AfriPa00,3119152
00-0000091,Louis Age,OT,1970-02-01,AgexLo20,
00-0000094,Mel Agee,DT,1968-11-22,AgeeMe20,7006
00-0000096,Tommie Agee,RB,1964-02-22,AgeeTo00,6503
00-0031549,Nelson Agholor,WR,1993-05-24,AghoNe00,2971618
00-0036420,McTelvin Agim,DT,1997-09-25,AgimMc00,4035566
00-0033572,Jamal Agnew,WR,1995-04-03,AgneJa00,3061612
00-0000097,Ray Agnew,DT,1967-12-09,AgneRa20,227
00-0030653,Ray Agnew,RB,1991-02-26,AgneRa00,17101
00-0028450,Vince Agnew,CB,1987-12-28,AgneVi00,14558
00-0026540,Robert Agnone,TE,1985-10-02,,
00-0039177,David Agoha,DE,2001-05-18,AgohDa00,5144941
00-0033102,Roberto Aguayo,K,1994-05-17,AguaRo00,2978887
00-0038682,Mitchell Agude,LB,1999-03-10,AgudMi01,4591235
00-0033599,Carlton Agudosi,WR,1994-02-01,AgudCa00,2982809
00-0000098,Louie Aguiar,P,1966-06-30,aguialou01,228
00-0041203,Joey Aguilar,QB,2001-06-16,AguiJo00,5151948
00-0025626,C.J. Ah You,DT,1982-07-07,AhYoC.00,10682
00-0000100,Chidi Ahanotu,DT,1970-10-11,AhanCh20,426
00-0038749,Holton Ahlers,QB,1999-11-10,AhleHo00,4360131
00-0035761,Ramiz Ahmed,K,1995-07-27,AhmeRa00,4266790
00-0036020,Salvon Ahmed,RB,1998-12-29,AhmeSa01,4243315
00-0039175,Junior Aho,DT,1999-02-02,AhoxJu00,4689551
AHR415291,Dave Ahrens,OLB,1958-12-05,AhreDa20,
00-0028496,Danny Aiken,LS,1988-08-28,AikeDa00,14581
00-0028497,Kamar Aiken,WR,1989-05-30,AikeKa00,14583
00-0021915,Sam Aiken,WR,1980-12-14,AikeSa00,4585
AIK276861,Carl Aikens,WR,1962-06-05,AikeCa20,
00-0031307,Walt Aikens,DB,1991-06-19,AikeWa00,16819
00-0000104,Troy Aikman,QB,1966-11-21,AikmTr00,53
AIM415291,John Aimonetti,G,1963-11-22,,
00-0026302,Erik Ainge,QB,1986-06-12,AingEr00,
AIU415291,Charles Aiu,G,1954-05-22,AiuxCh20,
00-0028679,Victor Aiyewa,LB,1989-02-04,AiyeVi00,14672
00-0036261,Brandon Aiyuk,WR,1998-03-17,AiyuBr00,4360438
00-0031590,Jay Ajayi,RB,1993-06-15,AjayJa00,2573300
00-0039178,Austin Ajiake,LB,2000-06-30,AjiaAu00,4374171
00-0027581,Seyi Ajirotutu,WR,1987-06-12,AjirSe00,13524
00-0024475,Emmanuel Akah,G,1979-02-08,,
00-0020330,Hakim Akbar,DB,1980-08-11,AkbaHa20,2712
00-0036414,Cam Akers,RB,1999-06-22,AkerCa00,4240021
00-0000108,David Akers,K,1974-12-09,akersdav01,1716
00-0036598,Landen Akers,WR,1997-07-07,AkerLa00,4035554
00-0040022,Tommy Akingbesote,DT,2003-02-25,AkinTo00,4683450
00-0038073,Alex Akingbulu,OT,1997-12-28,AkinAl00,4035835
00-0035600,Freedom Akinmoladun,DE,1996-02-11,AkinFr01,3116082
00-0029798,C.J. Akins,WR,1991-05-10,,16316
00-0000111,Chris Akins,DT,1976-01-07,,
00-0000112,Chris Akins,DB,1976-11-29,AkinCh20,1965
00-0035392,Curtis Akins,LB,1995-09-28,AkinCu00,3139626
00-0034364,Jordan Akins,TE,1992-04-19,AkinJo00,3128452
AKI664464,Mike Akiu,WR,1962-02-12,AkiuMi20,
